,gene_ids,feature_types,n_cells
GRCh38___LINC00982,GRCh38___ENSG00000177133,Gene Expression,3
GRCh38___PRDM16,GRCh38___ENSG00000142611,Gene Expression,36
GRCh38___AL590438.1,GRCh38___ENSG00000272235,Gene Expression,17
GRCh38___MEGF6,GRCh38___ENSG00000162591,Gene Expression,215
GRCh38___AL513320.1,GRCh38___ENSG00000238260,Gene Expression,13
GRCh38___TPRG1L,GRCh38___ENSG00000158109,Gene Expression,3625
GRCh38___WRAP73,GRCh38___ENSG00000116213,Gene Expression,9791
GRCh38___TP73,GRCh38___ENSG00000078900,Gene Expression,72
GRCh38___CCDC27,GRCh38___ENSG00000162592,Gene Expression,5
GRCh38___SMIM1,GRCh38___ENSG00000235169,Gene Expression,799
GRCh38___LRRC47,GRCh38___ENSG00000130764,Gene Expression,6692
GRCh38___AL365330.1,GRCh38___ENSG00000272153,Gene Expression,14
GRCh38___CEP104,GRCh38___ENSG00000116198,Gene Expression,4999
GRCh38___DFFB,GRCh38___ENSG00000169598,Gene Expression,2064
GRCh38___C1orf174,GRCh38___ENSG00000198912,Gene Expression,14499
GRCh38___LINC01134,GRCh38___ENSG00000236423,Gene Expression,108
GRCh38___AJAP1,GRCh38___ENSG00000196581,Gene Expression,11
GRCh38___AL365255.1,GRCh38___ENSG00000236948,Gene Expression,206
GRCh38___NPHP4,GRCh38___ENSG00000131697,Gene Expression,1089
GRCh38___KCNAB2,GRCh38___ENSG00000069424,Gene Expression,28993
GRCh38___CHD5,GRCh38___ENSG00000116254,Gene Expression,19
GRCh38___RPL22,GRCh38___ENSG00000116251,Gene Expression,82922
GRCh38___AL031847.1,GRCh38___ENSG00000226944,Gene Expression,17
GRCh38___RNF207,GRCh38___ENSG00000158286,Gene Expression,600
GRCh38___ICMT,GRCh38___ENSG00000116237,Gene Expression,4578
GRCh38___LINC00337,GRCh38___ENSG00000225077,Gene Expression,13
GRCh38___GPR153,GRCh38___ENSG00000158292,Gene Expression,358
GRCh38___ACOT7,GRCh38___ENSG00000097021,Gene Expression,10897
GRCh38___AL031848.2,GRCh38___ENSG00000271746,Gene Expression,495
GRCh38___HES2,GRCh38___ENSG00000069812,Gene Expression,5
GRCh38___ESPN,GRCh38___ENSG00000187017,Gene Expression,174
GRCh38___TNFRSF25,GRCh38___ENSG00000215788,Gene Expression,7817
GRCh38___PLEKHG5,GRCh38___ENSG00000171680,Gene Expression,102
GRCh38___NOL9,GRCh38___ENSG00000162408,Gene Expression,5242
GRCh38___TAS1R1,GRCh38___ENSG00000173662,Gene Expression,8
GRCh38___ZBTB48,GRCh38___ENSG00000204859,Gene Expression,5517
GRCh38___KLHL21,GRCh38___ENSG00000162413,Gene Expression,4466
GRCh38___PHF13,GRCh38___ENSG00000116273,Gene Expression,2076
GRCh38___THAP3,GRCh38___ENSG00000041988,Gene Expression,4875
GRCh38___DNAJC11,GRCh38___ENSG00000007923,Gene Expression,6705
GRCh38___CAMTA1-DT,GRCh38___ENSG00000237436,Gene Expression,9
GRCh38___CAMTA1,GRCh38___ENSG00000171735,Gene Expression,21015
GRCh38___VAMP3,GRCh38___ENSG00000049245,Gene Expression,16880
GRCh38___PER3,GRCh38___ENSG00000049246,Gene Expression,1419
GRCh38___Z98884.1,GRCh38___ENSG00000236266,Gene Expression,217
GRCh38___UTS2,GRCh38___ENSG00000049247,Gene Expression,272
GRCh38___TNFRSF9,GRCh38___ENSG00000049249,Gene Expression,1113
GRCh38___PARK7,GRCh38___ENSG00000116288,Gene Expression,54609
GRCh38___AL034417.4,GRCh38___ENSG00000284747,Gene Expression,58
GRCh38___AL034417.3,GRCh38___ENSG00000284716,Gene Expression,13
GRCh38___ERRFI1,GRCh38___ENSG00000116285,Gene Expression,1084
GRCh38___AL034417.2,GRCh38___ENSG00000238290,Gene Expression,11
GRCh38___AL358876.2,GRCh38___ENSG00000233645,Gene Expression,3
GRCh38___SLC45A1,GRCh38___ENSG00000162426,Gene Expression,1165
GRCh38___RERE,GRCh38___ENSG00000142599,Gene Expression,11925
GRCh38___AL096855.1,GRCh38___ENSG00000232912,Gene Expression,78
GRCh38___AL357552.2,GRCh38___ENSG00000228423,Gene Expression,14
GRCh38___ENO1,GRCh38___ENSG00000074800,Gene Expression,59933
GRCh38___ENO1-AS1,GRCh38___ENSG00000230679,Gene Expression,385
GRCh38___CA6,GRCh38___ENSG00000131686,Gene Expression,5
GRCh38___SLC2A5,GRCh38___ENSG00000142583,Gene Expression,238
GRCh38___GPR157,GRCh38___ENSG00000180758,Gene Expression,655
GRCh38___MIR34AHG,GRCh38___ENSG00000228526,Gene Expression,80
GRCh38___LINC01759,GRCh38___ENSG00000234546,Gene Expression,77
GRCh38___H6PD,GRCh38___ENSG00000049239,Gene Expression,3177
GRCh38___SPSB1,GRCh38___ENSG00000171621,Gene Expression,838
GRCh38___AL928921.2,GRCh38___ENSG00000284693,Gene Expression,10
GRCh38___SLC25A33,GRCh38___ENSG00000171612,Gene Expression,3142
GRCh38___TMEM201,GRCh38___ENSG00000188807,Gene Expression,973
GRCh38___PIK3CD,GRCh38___ENSG00000171608,Gene Expression,17122
GRCh38___PIK3CD-AS1,GRCh38___ENSG00000179840,Gene Expression,342
GRCh38___PIK3CD-AS2,GRCh38___ENSG00000231789,Gene Expression,228
GRCh38___CLSTN1,GRCh38___ENSG00000171603,Gene Expression,12432
GRCh38___CTNNBIP1,GRCh38___ENSG00000178585,Gene Expression,3059
GRCh38___LZIC,GRCh38___ENSG00000162441,Gene Expression,14540
GRCh38___NMNAT1,GRCh38___ENSG00000173614,Gene Expression,1501
GRCh38___RBP7,GRCh38___ENSG00000162444,Gene Expression,6068
GRCh38___UBE4B,GRCh38___ENSG00000130939,Gene Expression,8760
GRCh38___KIF1B,GRCh38___ENSG00000054523,Gene Expression,4661
GRCh38___AL139424.3,GRCh38___ENSG00000284735,Gene Expression,3
GRCh38___AL139424.2,GRCh38___ENSG00000284642,Gene Expression,71
GRCh38___PGD,GRCh38___ENSG00000142657,Gene Expression,22974
GRCh38___AL139424.1,GRCh38___ENSG00000271989,Gene Expression,51
GRCh38___CENPS-CORT,GRCh38___ENSG00000251503,Gene Expression,1793
GRCh38___CENPS,GRCh38___ENSG00000175279,Gene Expression,717
GRCh38___CORT,GRCh38___ENSG00000241563,Gene Expression,18
GRCh38___DFFA,GRCh38___ENSG00000160049,Gene Expression,9229
GRCh38___AL354956.1,GRCh38___ENSG00000203469,Gene Expression,9
GRCh38___PEX14,GRCh38___ENSG00000142655,Gene Expression,5928
GRCh38___CASZ1,GRCh38___ENSG00000130940,Gene Expression,5443
GRCh38___AL139423.1,GRCh38___ENSG00000272078,Gene Expression,203
GRCh38___C1orf127,GRCh38___ENSG00000175262,Gene Expression,72
GRCh38___TARDBP,GRCh38___ENSG00000120948,Gene Expression,15657
GRCh38___AL109811.4,GRCh38___ENSG00000277726,Gene Expression,39
GRCh38___MASP2,GRCh38___ENSG00000009724,Gene Expression,24
GRCh38___AL109811.3,GRCh38___ENSG00000271895,Gene Expression,913
GRCh38___SRM,GRCh38___ENSG00000116649,Gene Expression,4954
GRCh38___EXOSC10,GRCh38___ENSG00000171824,Gene Expression,16731
GRCh38___AL109811.1,GRCh38___ENSG00000226849,Gene Expression,95
GRCh38___AL109811.2,GRCh38___ENSG00000230337,Gene Expression,32
GRCh38___MTOR,GRCh38___ENSG00000198793,Gene Expression,8830
GRCh38___ANGPTL7,GRCh38___ENSG00000171819,Gene Expression,3
GRCh38___UBIAD1,GRCh38___ENSG00000120942,Gene Expression,10060
GRCh38___DISP3,GRCh38___ENSG00000204624,Gene Expression,24
GRCh38___FBXO2,GRCh38___ENSG00000116661,Gene Expression,481
GRCh38___FBXO44,GRCh38___ENSG00000132879,Gene Expression,11953
GRCh38___FBXO6,GRCh38___ENSG00000116663,Gene Expression,19331
GRCh38___MAD2L2,GRCh38___ENSG00000116670,Gene Expression,23321
GRCh38___DRAXIN,GRCh38___ENSG00000162490,Gene Expression,346
GRCh38___AGTRAP,GRCh38___ENSG00000177674,Gene Expression,32324
GRCh38___C1orf167,GRCh38___ENSG00000215910,Gene Expression,35
GRCh38___MTHFR,GRCh38___ENSG00000177000,Gene Expression,8892
GRCh38___CLCN6,GRCh38___ENSG00000011021,Gene Expression,6127
GRCh38___NPPA-AS1,GRCh38___ENSG00000242349,Gene Expression,271
GRCh38___NPPA,GRCh38___ENSG00000175206,Gene Expression,21
GRCh38___KIAA2013,GRCh38___ENSG00000116685,Gene Expression,4642
GRCh38___PLOD1,GRCh38___ENSG00000083444,Gene Expression,7726
GRCh38___MFN2,GRCh38___ENSG00000116688,Gene Expression,5587
GRCh38___MIIP,GRCh38___ENSG00000116691,Gene Expression,19670
GRCh38___TNFRSF8,GRCh38___ENSG00000120949,Gene Expression,1271
