,gene_ids,feature_types,n_cells
GRCh38___MCTP1,GRCh38___ENSG00000175471,Gene Expression,8421
GRCh38___AC008534.1,GRCh38___ENSG00000249175,Gene Expression,3
GRCh38___FAM81B,GRCh38___ENSG00000153347,Gene Expression,86
GRCh38___TTC37,GRCh38___ENSG00000198677,Gene Expression,11107
GRCh38___ARSK,GRCh38___ENSG00000164291,Gene Expression,2464
GRCh38___GPR150,GRCh38___ENSG00000178015,Gene Expression,79
GRCh38___RFESD,GRCh38___ENSG00000175449,Gene Expression,577
GRCh38___SPATA9,GRCh38___ENSG00000145757,Gene Expression,5
GRCh38___AC008840.1,GRCh38___ENSG00000250240,Gene Expression,70
GRCh38___RHOBTB3,GRCh38___ENSG00000164292,Gene Expression,1091
GRCh38___GLRX,GRCh38___ENSG00000173221,Gene Expression,26718
GRCh38___AC008592.4,GRCh38___ENSG00000251409,Gene Expression,18
GRCh38___LINC01554,GRCh38___ENSG00000236882,Gene Expression,68
GRCh38___ELL2,GRCh38___ENSG00000118985,Gene Expression,11827
GRCh38___MIR583HG,GRCh38___ENSG00000250551,Gene Expression,10
GRCh38___CAST,GRCh38___ENSG00000153113,Gene Expression,51544
GRCh38___AC020900.1,GRCh38___ENSG00000249180,Gene Expression,7
GRCh38___ERAP1,GRCh38___ENSG00000164307,Gene Expression,14075
GRCh38___AC008906.1,GRCh38___ENSG00000248734,Gene Expression,308
GRCh38___AC008906.2,GRCh38___ENSG00000272109,Gene Expression,68
GRCh38___AC009126.1,GRCh38___ENSG00000247121,Gene Expression,1427
GRCh38___ERAP2,GRCh38___ENSG00000164308,Gene Expression,15338
GRCh38___LNPEP,GRCh38___ENSG00000113441,Gene Expression,24830
GRCh38___LIX1-AS1,GRCh38___ENSG00000251513,Gene Expression,203
GRCh38___LIX1,GRCh38___ENSG00000145721,Gene Expression,20
GRCh38___RIOK2,GRCh38___ENSG00000058729,Gene Expression,7103
GRCh38___LINC01340,GRCh38___ENSG00000250331,Gene Expression,6
GRCh38___RGMB,GRCh38___ENSG00000174136,Gene Expression,251
GRCh38___AC008522.1,GRCh38___ENSG00000279232,Gene Expression,7
GRCh38___CHD1,GRCh38___ENSG00000153922,Gene Expression,47710
GRCh38___LINC02062,GRCh38___ENSG00000248489,Gene Expression,1131
GRCh38___AC021086.1,GRCh38___ENSG00000247877,Gene Expression,41
GRCh38___FAM174A,GRCh38___ENSG00000174132,Gene Expression,4053
GRCh38___ST8SIA4,GRCh38___ENSG00000113532,Gene Expression,21679
GRCh38___SLCO4C1,GRCh38___ENSG00000173930,Gene Expression,1671
GRCh38___PAM,GRCh38___ENSG00000145730,Gene Expression,7022
GRCh38___GIN1,GRCh38___ENSG00000145723,Gene Expression,827
GRCh38___PPIP5K2,GRCh38___ENSG00000145725,Gene Expression,14733
GRCh38___C5orf30,GRCh38___ENSG00000181751,Gene Expression,2301
GRCh38___NUDT12,GRCh38___ENSG00000112874,Gene Expression,118
GRCh38___EFNA5,GRCh38___ENSG00000184349,Gene Expression,155
GRCh38___FBXL17,GRCh38___ENSG00000145743,Gene Expression,2779
GRCh38___LINC01023,GRCh38___ENSG00000272523,Gene Expression,434
GRCh38___FER,GRCh38___ENSG00000151422,Gene Expression,1822
GRCh38___AC008467.1,GRCh38___ENSG00000249476,Gene Expression,139
GRCh38___PJA2,GRCh38___ENSG00000198961,Gene Expression,23504
GRCh38___AC012603.1,GRCh38___ENSG00000271849,Gene Expression,32
GRCh38___MAN2A1,GRCh38___ENSG00000112893,Gene Expression,15338
GRCh38___TMEM232,GRCh38___ENSG00000186952,Gene Expression,73
GRCh38___SLC25A46,GRCh38___ENSG00000164209,Gene Expression,11263
GRCh38___TSLP,GRCh38___ENSG00000145777,Gene Expression,59
GRCh38___WDR36,GRCh38___ENSG00000134987,Gene Expression,9489
GRCh38___CAMK4,GRCh38___ENSG00000152495,Gene Expression,21681
GRCh38___STARD4,GRCh38___ENSG00000164211,Gene Expression,6402
GRCh38___STARD4-AS1,GRCh38___ENSG00000246859,Gene Expression,36
GRCh38___NREP,GRCh38___ENSG00000134986,Gene Expression,849
GRCh38___EPB41L4A,GRCh38___ENSG00000129595,Gene Expression,1834
GRCh38___EPB41L4A-AS1,GRCh38___ENSG00000224032,Gene Expression,27940
GRCh38___AC010261.2,GRCh38___ENSG00000251187,Gene Expression,4
GRCh38___EPB41L4A-DT,GRCh38___ENSG00000278921,Gene Expression,11
GRCh38___APC,GRCh38___ENSG00000134982,Gene Expression,12481
GRCh38___AC008575.1,GRCh38___ENSG00000258864,Gene Expression,3
GRCh38___SRP19,GRCh38___ENSG00000153037,Gene Expression,35746
GRCh38___REEP5,GRCh38___ENSG00000129625,Gene Expression,45487
GRCh38___DCP2,GRCh38___ENSG00000172795,Gene Expression,30471
GRCh38___MCC,GRCh38___ENSG00000171444,Gene Expression,169
GRCh38___YTHDC2,GRCh38___ENSG00000047188,Gene Expression,11757
GRCh38___TRIM36,GRCh38___ENSG00000152503,Gene Expression,261
GRCh38___PGGT1B,GRCh38___ENSG00000164219,Gene Expression,11116
GRCh38___AC008494.3,GRCh38___ENSG00000271797,Gene Expression,362
GRCh38___CCDC112,GRCh38___ENSG00000164221,Gene Expression,4682
GRCh38___FEM1C,GRCh38___ENSG00000145780,Gene Expression,7590
GRCh38___TMED7-TICAM2,GRCh38___ENSG00000251201,Gene Expression,25
GRCh38___TICAM2,GRCh38___ENSG00000243414,Gene Expression,2037
GRCh38___AC010226.1,GRCh38___ENSG00000249249,Gene Expression,892
GRCh38___TMED7,GRCh38___ENSG00000134970,Gene Expression,4517
GRCh38___AC008549.2,GRCh38___ENSG00000249021,Gene Expression,190
GRCh38___CDO1,GRCh38___ENSG00000129596,Gene Expression,44
GRCh38___ATG12,GRCh38___ENSG00000145782,Gene Expression,28222
GRCh38___AP3S1,GRCh38___ENSG00000177879,Gene Expression,26850
GRCh38___LVRN,GRCh38___ENSG00000172901,Gene Expression,3
GRCh38___ARL14EPL,GRCh38___ENSG00000268223,Gene Expression,65
GRCh38___AC034236.3,GRCh38___ENSG00000272265,Gene Expression,6
GRCh38___AC034236.2,GRCh38___ENSG00000271918,Gene Expression,1213
GRCh38___COMMD10,GRCh38___ENSG00000145781,Gene Expression,13013
GRCh38___SEMA6A,GRCh38___ENSG00000092421,Gene Expression,66
GRCh38___SEMA6A-AS1,GRCh38___ENSG00000248445,Gene Expression,161
GRCh38___DTWD2,GRCh38___ENSG00000169570,Gene Expression,671
GRCh38___AC008629.1,GRCh38___ENSG00000249494,Gene Expression,35
GRCh38___DMXL1,GRCh38___ENSG00000172869,Gene Expression,12869
GRCh38___TNFAIP8,GRCh38___ENSG00000145779,Gene Expression,31326
GRCh38___HSD17B4,GRCh38___ENSG00000133835,Gene Expression,7612
GRCh38___FAM170A,GRCh38___ENSG00000164334,Gene Expression,3
GRCh38___PRR16,GRCh38___ENSG00000184838,Gene Expression,353
GRCh38___AC008568.1,GRCh38___ENSG00000229855,Gene Expression,5
GRCh38___SRFBP1,GRCh38___ENSG00000151304,Gene Expression,9246
GRCh38___LOX,GRCh38___ENSG00000113083,Gene Expression,6
GRCh38___ZNF474,GRCh38___ENSG00000164185,Gene Expression,13
GRCh38___LINC02201,GRCh38___ENSG00000251538,Gene Expression,25
GRCh38___SNX2,GRCh38___ENSG00000205302,Gene Expression,27902
GRCh38___SNX24,GRCh38___ENSG00000064652,Gene Expression,593
GRCh38___PPIC,GRCh38___ENSG00000168938,Gene Expression,5
GRCh38___PRDM6,GRCh38___ENSG00000061455,Gene Expression,3
GRCh38___CEP120,GRCh38___ENSG00000168944,Gene Expression,5904
GRCh38___CSNK1G3,GRCh38___ENSG00000151292,Gene Expression,20927
GRCh38___ZNF608,GRCh38___ENSG00000168916,Gene Expression,236
GRCh38___AC112196.1,GRCh38___ENSG00000249112,Gene Expression,5
GRCh38___LINC02240,GRCh38___ENSG00000260192,Gene Expression,5
GRCh38___GRAMD2B,GRCh38___ENSG00000155324,Gene Expression,4349
GRCh38___AC093535.1,GRCh38___ENSG00000250602,Gene Expression,5
GRCh38___ALDH7A1,GRCh38___ENSG00000164904,Gene Expression,140
GRCh38___PHAX,GRCh38___ENSG00000164902,Gene Expression,16607
GRCh38___LMNB1-DT,GRCh38___ENSG00000251072,Gene Expression,21
GRCh38___LMNB1,GRCh38___ENSG00000113368,Gene Expression,20119
GRCh38___MARCH3,GRCh38___ENSG00000173926,Gene Expression,5196
GRCh38___C5orf63,GRCh38___ENSG00000164241,Gene Expression,1930
GRCh38___AC011416.3,GRCh38___ENSG00000283897,Gene Expression,80
GRCh38___PRRC1,GRCh38___ENSG00000164244,Gene Expression,10010
GRCh38___AC010424.3,GRCh38___ENSG00000282925,Gene Expression,26
GRCh38___CCDC192,GRCh38___ENSG00000230561,Gene Expression,6
GRCh38___LINC01184,GRCh38___ENSG00000245937,Gene Expression,6672
GRCh38___SLC12A2,GRCh38___ENSG00000064651,Gene Expression,2598
GRCh38___FBN2,GRCh38___ENSG00000138829,Gene Expression,533
GRCh38___ISOC1,GRCh38___ENSG00000066583,Gene Expression,9498
GRCh38___CHSY3,GRCh38___ENSG00000198108,Gene Expression,12
GRCh38___HINT1,GRCh38___ENSG00000169567,Gene Expression,71110
GRCh38___LYRM7,GRCh38___ENSG00000186687,Gene Expression,4547
GRCh38___CDC42SE2,GRCh38___ENSG00000158985,Gene Expression,40263
GRCh38___RAPGEF6,GRCh38___ENSG00000158987,Gene Expression,8596
GRCh38___FNIP1,GRCh38___ENSG00000217128,Gene Expression,20518
GRCh38___MEIKIN,GRCh38___ENSG00000239642,Gene Expression,183
GRCh38___AC026398.1,GRCh38___ENSG00000281938,Gene Expression,3
GRCh38___ACSL6,GRCh38___ENSG00000164398,Gene Expression,2561
GRCh38___IL3,GRCh38___ENSG00000164399,Gene Expression,10
GRCh38___CSF2,GRCh38___ENSG00000164400,Gene Expression,93
GRCh38___P4HA2,GRCh38___ENSG00000072682,Gene Expression,158
GRCh38___PDLIM4,GRCh38___ENSG00000131435,Gene Expression,54
GRCh38___SLC22A4,GRCh38___ENSG00000197208,Gene Expression,2388
GRCh38___SLC22A5,GRCh38___ENSG00000197375,Gene Expression,3930
GRCh38___AC116366.3,GRCh38___ENSG00000283782,Gene Expression,31796
GRCh38___AC116366.2,GRCh38___ENSG00000238160,Gene Expression,580
GRCh38___AC116366.1,GRCh38___ENSG00000234290,Gene Expression,2583
GRCh38___IRF1,GRCh38___ENSG00000125347,Gene Expression,76434
GRCh38___IL5,GRCh38___ENSG00000113525,Gene Expression,36
GRCh38___RAD50,GRCh38___ENSG00000113522,Gene Expression,7244
GRCh38___TH2LCRR,GRCh38___ENSG00000223442,Gene Expression,20
GRCh38___IL13,GRCh38___ENSG00000169194,Gene Expression,64
GRCh38___IL4,GRCh38___ENSG00000113520,Gene Expression,53
GRCh38___KIF3A,GRCh38___ENSG00000131437,Gene Expression,6346
GRCh38___CCNI2,GRCh38___ENSG00000205089,Gene Expression,154
GRCh38___SEPT8,GRCh38___ENSG00000164402,Gene Expression,1365
GRCh38___AC004775.1,GRCh38___ENSG00000272203,Gene Expression,3
GRCh38___SHROOM1,GRCh38___ENSG00000164403,Gene Expression,243
GRCh38___GDF9,GRCh38___ENSG00000164404,Gene Expression,25
GRCh38___UQCRQ,GRCh38___ENSG00000164405,Gene Expression,53193
GRCh38___LEAP2,GRCh38___ENSG00000164406,Gene Expression,230
GRCh38___AFF4,GRCh38___ENSG00000072364,Gene Expression,31623
GRCh38___AC010240.3,GRCh38___ENSG00000272023,Gene Expression,156
GRCh38___ZCCHC10,GRCh38___ENSG00000155329,Gene Expression,13310
GRCh38___HSPA4,GRCh38___ENSG00000170606,Gene Expression,21013
GRCh38___FSTL4,GRCh38___ENSG00000053108,Gene Expression,34
GRCh38___AC010307.3,GRCh38___ENSG00000249478,Gene Expression,3
GRCh38___C5orf15,GRCh38___ENSG00000113583,Gene Expression,8802
GRCh38___VDAC1,GRCh38___ENSG00000213585,Gene Expression,36233
GRCh38___AC008608.2,GRCh38___ENSG00000271737,Gene Expression,272
GRCh38___TCF7,GRCh38___ENSG00000081059,Gene Expression,12314
GRCh38___SKP1,GRCh38___ENSG00000113558,Gene Expression,64470
GRCh38___AC104109.3,GRCh38___ENSG00000272772,Gene Expression,20
GRCh38___PPP2CA,GRCh38___ENSG00000113575,Gene Expression,31666
GRCh38___AC104109.2,GRCh38___ENSG00000270177,Gene Expression,184
GRCh38___CDKL3,GRCh38___ENSG00000006837,Gene Expression,353
GRCh38___UBE2B,GRCh38___ENSG00000119048,Gene Expression,43817
GRCh38___AC109454.2,GRCh38___ENSG00000248559,Gene Expression,175
GRCh38___CDKN2AIPNL,GRCh38___ENSG00000237190,Gene Expression,12241
GRCh38___AC109454.3,GRCh38___ENSG00000250564,Gene Expression,3
GRCh38___AC005355.1,GRCh38___ENSG00000250994,Gene Expression,15
GRCh38___JADE2,GRCh38___ENSG00000043143,Gene Expression,9304
GRCh38___SAR1B,GRCh38___ENSG00000152700,Gene Expression,15474
GRCh38___SEC24A,GRCh38___ENSG00000113615,Gene Expression,5463
GRCh38___CAMLG,GRCh38___ENSG00000164615,Gene Expression,29973
GRCh38___DDX46,GRCh38___ENSG00000145833,Gene Expression,39943
GRCh38___C5orf24,GRCh38___ENSG00000181904,Gene Expression,18070
GRCh38___TXNDC15,GRCh38___ENSG00000113621,Gene Expression,9410
GRCh38___PCBD2,GRCh38___ENSG00000132570,Gene Expression,3485
GRCh38___CATSPER3,GRCh38___ENSG00000152705,Gene Expression,37
GRCh38___PITX1,GRCh38___ENSG00000069011,Gene Expression,56
GRCh38___C5orf66,GRCh38___ENSG00000224186,Gene Expression,72
GRCh38___H2AFY,GRCh38___ENSG00000113648,Gene Expression,31916
GRCh38___AC026691.1,GRCh38___ENSG00000270021,Gene Expression,140
GRCh38___TIFAB,GRCh38___ENSG00000255833,Gene Expression,228
GRCh38___AC022092.1,GRCh38___ENSG00000249639,Gene Expression,27
GRCh38___CXCL14,GRCh38___ENSG00000145824,Gene Expression,26
GRCh38___TGFBI,GRCh38___ENSG00000120708,Gene Expression,11385
GRCh38___SMAD5-AS1,GRCh38___ENSG00000164621,Gene Expression,11
GRCh38___SMAD5,GRCh38___ENSG00000113658,Gene Expression,5708
GRCh38___SPOCK1,GRCh38___ENSG00000152377,Gene Expression,103
GRCh38___KLHL3,GRCh38___ENSG00000146021,Gene Expression,568
GRCh38___HNRNPA0,GRCh38___ENSG00000177733,Gene Expression,51102
GRCh38___AC106791.1,GRCh38___ENSG00000250159,Gene Expression,1513
GRCh38___MYOT,GRCh38___ENSG00000120729,Gene Expression,69
GRCh38___PKD2L2,GRCh38___ENSG00000078795,Gene Expression,1097
GRCh38___FAM13B,GRCh38___ENSG00000031003,Gene Expression,18812
GRCh38___AC113382.1,GRCh38___ENSG00000246323,Gene Expression,46
GRCh38___AC113382.2,GRCh38___ENSG00000250260,Gene Expression,5
GRCh38___BRD8,GRCh38___ENSG00000112983,Gene Expression,6018
GRCh38___KIF20A,GRCh38___ENSG00000112984,Gene Expression,755
GRCh38___CDC23,GRCh38___ENSG00000094880,Gene Expression,4697
GRCh38___GFRA3,GRCh38___ENSG00000146013,Gene Expression,5
GRCh38___CDC25C,GRCh38___ENSG00000158402,Gene Expression,624
GRCh38___FAM53C,GRCh38___ENSG00000120709,Gene Expression,9065
GRCh38___KDM3B,GRCh38___ENSG00000120733,Gene Expression,7915
GRCh38___REEP2,GRCh38___ENSG00000132563,Gene Expression,87
GRCh38___EGR1,GRCh38___ENSG00000120738,Gene Expression,4931
GRCh38___ETF1,GRCh38___ENSG00000120705,Gene Expression,32137
GRCh38___HSPA9,GRCh38___ENSG00000113013,Gene Expression,43265
GRCh38___CTNNA1,GRCh38___ENSG00000044115,Gene Expression,12400
GRCh38___AC034243.1,GRCh38___ENSG00000253404,Gene Expression,11
GRCh38___LRRTM2,GRCh38___ENSG00000146006,Gene Expression,49
GRCh38___SIL1,GRCh38___ENSG00000120725,Gene Expression,10590
GRCh38___AC011405.1,GRCh38___ENSG00000249593,Gene Expression,33
GRCh38___MATR3,GRCh38___ENSG00000280987,Gene Expression,409
GRCh38___SNHG4,GRCh38___ENSG00000281398,Gene Expression,856
GRCh38___MATR3-1,GRCh38___ENSG00000015479,Gene Expression,41559
GRCh38___PAIP2,GRCh38___ENSG00000120727,Gene Expression,51756
GRCh38___AC135457.1,GRCh38___ENSG00000272742,Gene Expression,1196
GRCh38___SLC23A1,GRCh38___ENSG00000170482,Gene Expression,33
GRCh38___MZB1,GRCh38___ENSG00000170476,Gene Expression,4086
GRCh38___PROB1,GRCh38___ENSG00000228672,Gene Expression,245
GRCh38___SPATA24,GRCh38___ENSG00000170469,Gene Expression,988
GRCh38___DNAJC18,GRCh38___ENSG00000170464,Gene Expression,1911
GRCh38___ECSCR,GRCh38___ENSG00000249751,Gene Expression,5
GRCh38___SMIM33,GRCh38___ENSG00000283288,Gene Expression,36
GRCh38___TMEM173,GRCh38___ENSG00000184584,Gene Expression,20947
GRCh38___UBE2D2,GRCh38___ENSG00000131508,Gene Expression,58017
GRCh38___AC113361.1,GRCh38___ENSG00000272255,Gene Expression,10
GRCh38___CXXC5,GRCh38___ENSG00000171604,Gene Expression,9615
GRCh38___CXXC5-AS1,GRCh38___ENSG00000250635,Gene Expression,185
GRCh38___AC008667.1,GRCh38___ENSG00000249526,Gene Expression,4
GRCh38___AC008667.3,GRCh38___ENSG00000251387,Gene Expression,8
GRCh38___PSD2,GRCh38___ENSG00000146005,Gene Expression,25
GRCh38___NRG2,GRCh38___ENSG00000158458,Gene Expression,362
GRCh38___MALINC1,GRCh38___ENSG00000245146,Gene Expression,295
GRCh38___PURA,GRCh38___ENSG00000185129,Gene Expression,7785
GRCh38___IGIP,GRCh38___ENSG00000182700,Gene Expression,150
GRCh38___CYSTM1,GRCh38___ENSG00000120306,Gene Expression,10735
GRCh38___PFDN1,GRCh38___ENSG00000113068,Gene Expression,27613
GRCh38___HBEGF,GRCh38___ENSG00000113070,Gene Expression,10459
GRCh38___AC008438.2,GRCh38___ENSG00000253965,Gene Expression,8
GRCh38___SLC4A9,GRCh38___ENSG00000113073,Gene Expression,5
GRCh38___AC008438.1,GRCh38___ENSG00000249637,Gene Expression,1393
GRCh38___ANKHD1,GRCh38___ENSG00000131503,Gene Expression,12698
GRCh38___ANKHD1-EIF4EBP3,GRCh38___ENSG00000254996,Gene Expression,850
GRCh38___SRA1,GRCh38___ENSG00000213523,Gene Expression,29770
GRCh38___EIF4EBP3,GRCh38___ENSG00000243056,Gene Expression,5968
GRCh38___APBB3,GRCh38___ENSG00000113108,Gene Expression,4826
GRCh38___SLC35A4,GRCh38___ENSG00000176087,Gene Expression,12217
GRCh38___CD14,GRCh38___ENSG00000170458,Gene Expression,21237
GRCh38___NDUFA2,GRCh38___ENSG00000131495,Gene Expression,47291
GRCh38___TMCO6,GRCh38___ENSG00000113119,Gene Expression,4478
GRCh38___IK,GRCh38___ENSG00000113141,Gene Expression,38809
GRCh38___WDR55,GRCh38___ENSG00000120314,Gene Expression,12466
GRCh38___DND1,GRCh38___ENSG00000256453,Gene Expression,615
GRCh38___HARS,GRCh38___ENSG00000170445,Gene Expression,17496
GRCh38___HARS2,GRCh38___ENSG00000112855,Gene Expression,7998
GRCh38___ZMAT2,GRCh38___ENSG00000146007,Gene Expression,31551
GRCh38___PCDHB9,GRCh38___ENSG00000177839,Gene Expression,16
GRCh38___TAF7,GRCh38___ENSG00000178913,Gene Expression,34597
GRCh38___SLC25A2,GRCh38___ENSG00000120329,Gene Expression,5
GRCh38___AC005618.1,GRCh38___ENSG00000272070,Gene Expression,13
GRCh38___PCDHGB1,GRCh38___ENSG00000254221,Gene Expression,7
GRCh38___PCDHGA4,GRCh38___ENSG00000262576,Gene Expression,12
GRCh38___PCDHGB2,GRCh38___ENSG00000253910,Gene Expression,95
GRCh38___PCDHGA5,GRCh38___ENSG00000253485,Gene Expression,16
GRCh38___PCDHGB3,GRCh38___ENSG00000262209,Gene Expression,8
GRCh38___PCDHGA6,GRCh38___ENSG00000253731,Gene Expression,54
GRCh38___PCDHGA7,GRCh38___ENSG00000253537,Gene Expression,16
GRCh38___PCDHGB4,GRCh38___ENSG00000253953,Gene Expression,8
GRCh38___PCDHGA8,GRCh38___ENSG00000253767,Gene Expression,10
GRCh38___PCDHGB5,GRCh38___ENSG00000276547,Gene Expression,82
GRCh38___PCDHGA9,GRCh38___ENSG00000261934,Gene Expression,7
GRCh38___PCDHGB6,GRCh38___ENSG00000253305,Gene Expression,25
GRCh38___PCDHGA10,GRCh38___ENSG00000253846,Gene Expression,76
GRCh38___PCDHGB7,GRCh38___ENSG00000254122,Gene Expression,3
GRCh38___PCDHGA11,GRCh38___ENSG00000253873,Gene Expression,6
GRCh38___PCDHGA12,GRCh38___ENSG00000253159,Gene Expression,26
GRCh38___PCDHGC3,GRCh38___ENSG00000240184,Gene Expression,18
GRCh38___DIAPH1,GRCh38___ENSG00000131504,Gene Expression,35138
GRCh38___AC008781.2,GRCh38___ENSG00000246422,Gene Expression,13
GRCh38___AC008781.1,GRCh38___ENSG00000228737,Gene Expression,18
GRCh38___HDAC3,GRCh38___ENSG00000171720,Gene Expression,14090
GRCh38___RELL2,GRCh38___ENSG00000164620,Gene Expression,6978
GRCh38___FCHSD1,GRCh38___ENSG00000197948,Gene Expression,10111
GRCh38___ARAP3,GRCh38___ENSG00000120318,Gene Expression,807
GRCh38___PCDH1,GRCh38___ENSG00000156453,Gene Expression,31
GRCh38___DELE1,GRCh38___ENSG00000081791,Gene Expression,17803
GRCh38___PCDH12,GRCh38___ENSG00000113555,Gene Expression,21
GRCh38___AC005740.4,GRCh38___ENSG00000271871,Gene Expression,13
GRCh38___RNF14,GRCh38___ENSG00000013561,Gene Expression,5604
GRCh38___GNPDA1,GRCh38___ENSG00000113552,Gene Expression,5760
GRCh38___NDFIP1,GRCh38___ENSG00000131507,Gene Expression,36407
GRCh38___SPRY4,GRCh38___ENSG00000187678,Gene Expression,10
GRCh38___ARHGAP26,GRCh38___ENSG00000145819,Gene Expression,14956
GRCh38___ARHGAP26-AS1,GRCh38___ENSG00000226272,Gene Expression,15
GRCh38___NR3C1,GRCh38___ENSG00000113580,Gene Expression,38874
GRCh38___HMHB1,GRCh38___ENSG00000158497,Gene Expression,15
GRCh38___YIPF5,GRCh38___ENSG00000145817,Gene Expression,17334
GRCh38___KCTD16,GRCh38___ENSG00000183775,Gene Expression,40
GRCh38___PRELID2,GRCh38___ENSG00000186314,Gene Expression,1423
GRCh38___SH3RF2,GRCh38___ENSG00000156463,Gene Expression,507
GRCh38___PLAC8L1,GRCh38___ENSG00000173261,Gene Expression,17
GRCh38___LARS,GRCh38___ENSG00000133706,Gene Expression,17022
GRCh38___AC091959.3,GRCh38___ENSG00000275740,Gene Expression,10614
GRCh38___RBM27,GRCh38___ENSG00000091009,Gene Expression,3874
GRCh38___POU4F3,GRCh38___ENSG00000091010,Gene Expression,7
GRCh38___TCERG1,GRCh38___ENSG00000113649,Gene Expression,25706
GRCh38___GPR151,GRCh38___ENSG00000173250,Gene Expression,8
GRCh38___PPP2R2B,GRCh38___ENSG00000156475,Gene Expression,15535
GRCh38___DPYSL3,GRCh38___ENSG00000113657,Gene Expression,159
GRCh38___JAKMIP2-AS1,GRCh38___ENSG00000280780,Gene Expression,33
GRCh38___JAKMIP2,GRCh38___ENSG00000176049,Gene Expression,3459
GRCh38___SPINK1,GRCh38___ENSG00000164266,Gene Expression,20
GRCh38___SCGB3A2,GRCh38___ENSG00000164265,Gene Expression,57
GRCh38___SPINK6,GRCh38___ENSG00000178172,Gene Expression,6
GRCh38___AC091948.1,GRCh38___ENSG00000247199,Gene Expression,159
GRCh38___FBXO38,GRCh38___ENSG00000145868,Gene Expression,6614
GRCh38___HTR4,GRCh38___ENSG00000164270,Gene Expression,6
GRCh38___ADRB2,GRCh38___ENSG00000169252,Gene Expression,12399
GRCh38___SH3TC2,GRCh38___ENSG00000169247,Gene Expression,104
GRCh38___AC116312.1,GRCh38___ENSG00000272411,Gene Expression,5
GRCh38___SH3TC2-DT,GRCh38___ENSG00000250072,Gene Expression,16
GRCh38___ABLIM3,GRCh38___ENSG00000173210,Gene Expression,372
GRCh38___AFAP1L1,GRCh38___ENSG00000157510,Gene Expression,5
GRCh38___GRPEL2,GRCh38___ENSG00000164284,Gene Expression,3870
GRCh38___GRPEL2-AS1,GRCh38___ENSG00000253618,Gene Expression,22
GRCh38___PCYOX1L,GRCh38___ENSG00000145882,Gene Expression,3224
GRCh38___AC131025.1,GRCh38___ENSG00000253865,Gene Expression,15
GRCh38___CSNK1A1,GRCh38___ENSG00000113712,Gene Expression,44609
GRCh38___ARHGEF37,GRCh38___ENSG00000183111,Gene Expression,31
GRCh38___PPARGC1B,GRCh38___ENSG00000155846,Gene Expression,3720
GRCh38___PDE6A,GRCh38___ENSG00000132915,Gene Expression,5
GRCh38___SLC26A2,GRCh38___ENSG00000155850,Gene Expression,2399
GRCh38___TIGD6,GRCh38___ENSG00000164296,Gene Expression,1230
GRCh38___HMGXB3,GRCh38___ENSG00000113716,Gene Expression,16004
GRCh38___CSF1R,GRCh38___ENSG00000182578,Gene Expression,7126
GRCh38___PDGFRB,GRCh38___ENSG00000113721,Gene Expression,774
GRCh38___SLC6A7,GRCh38___ENSG00000011083,Gene Expression,33
GRCh38___CAMK2A,GRCh38___ENSG00000070808,Gene Expression,42
GRCh38___ARSI,GRCh38___ENSG00000183876,Gene Expression,106
GRCh38___TCOF1,GRCh38___ENSG00000070814,Gene Expression,12422
GRCh38___CD74,GRCh38___ENSG00000019582,Gene Expression,85539
GRCh38___RPS14,GRCh38___ENSG00000164587,Gene Expression,85466
GRCh38___NDST1-AS1,GRCh38___ENSG00000254333,Gene Expression,3
GRCh38___NDST1,GRCh38___ENSG00000070614,Gene Expression,2624
GRCh38___SYNPO,GRCh38___ENSG00000171992,Gene Expression,124
GRCh38___MYOZ3,GRCh38___ENSG00000164591,Gene Expression,9
GRCh38___AC008453.1,GRCh38___ENSG00000250309,Gene Expression,3
GRCh38___RBM22,GRCh38___ENSG00000086589,Gene Expression,24954
GRCh38___DCTN4,GRCh38___ENSG00000132912,Gene Expression,22200
GRCh38___SMIM3,GRCh38___ENSG00000256235,Gene Expression,5857
GRCh38___IRGM,GRCh38___ENSG00000237693,Gene Expression,46
GRCh38___ZNF300,GRCh38___ENSG00000145908,Gene Expression,401
GRCh38___GPX3,GRCh38___ENSG00000211445,Gene Expression,764
GRCh38___TNIP1,GRCh38___ENSG00000145901,Gene Expression,34191
GRCh38___ANXA6,GRCh38___ENSG00000197043,Gene Expression,49896
GRCh38___AC008641.1,GRCh38___ENSG00000254298,Gene Expression,14
GRCh38___CCDC69,GRCh38___ENSG00000198624,Gene Expression,25217
GRCh38___GM2A,GRCh38___ENSG00000196743,Gene Expression,10851
GRCh38___SLC36A1,GRCh38___ENSG00000123643,Gene Expression,5595
GRCh38___FAT2,GRCh38___ENSG00000086570,Gene Expression,6
GRCh38___AC011337.1,GRCh38___ENSG00000271795,Gene Expression,38
GRCh38___SPARC,GRCh38___ENSG00000113140,Gene Expression,2572
GRCh38___AC011374.2,GRCh38___ENSG00000272112,Gene Expression,54
GRCh38___ATOX1,GRCh38___ENSG00000177556,Gene Expression,27605
GRCh38___AC091982.3,GRCh38___ENSG00000275765,Gene Expression,1192
GRCh38___G3BP1,GRCh38___ENSG00000145907,Gene Expression,23643
GRCh38___FAM114A2,GRCh38___ENSG00000055147,Gene Expression,4065
GRCh38___MFAP3,GRCh38___ENSG00000037749,Gene Expression,2047
GRCh38___GALNT10,GRCh38___ENSG00000164574,Gene Expression,5492
