,feature_types
SST,Gene Expression
AC072022.1,Gene Expression
BCL6,Gene Expression
LINC01991,Gene Expression
AC022498.1,Gene Expression
LPP-AS2,Gene Expression
LPP,Gene Expression
LPP-AS1,Gene Expression
TPRG1-AS1,Gene Expression
TPRG1,Gene Expression
TPRG1-AS2,Gene Expression
TP63,Gene Expression
P3H2,Gene Expression
P3H2-AS1,Gene Expression
CLDN1,Gene Expression
CLDN16,Gene Expression
IL1RAP,Gene Expression
LINC02013,Gene Expression
OSTN,Gene Expression
OSTN-AS1,Gene Expression
UTS2B,Gene Expression
CCDC50,Gene Expression
FGF12,Gene Expression
FGF12-AS2,Gene Expression
MB21D2,Gene Expression
ATP13A5,Gene Expression
ATP13A5-AS1,Gene Expression
ATP13A4,Gene Expression
OPA1,Gene Expression
OPA1-AS1,Gene Expression
LINC02026,Gene Expression
AC080129.1,Gene Expression
AC080129.2,Gene Expression
HES1,Gene Expression
LINC02036,Gene Expression
LINC02037,Gene Expression
LINC00887,Gene Expression
GP5,Gene Expression
ATP13A3,Gene Expression
LINC00884,Gene Expression
TMEM44-AS1,Gene Expression
TMEM44,Gene Expression
AC046143.1,Gene Expression
AC046143.2,Gene Expression
LSG1,Gene Expression
FAM43A,Gene Expression
LINC01968,Gene Expression
LINC01972,Gene Expression
XXYLT1,Gene Expression
XXYLT1-AS1,Gene Expression
XXYLT1-AS2,Gene Expression
ACAP2,Gene Expression
PPP1R2,Gene Expression
AC069213.1,Gene Expression
APOD,Gene Expression
AC233280.1,Gene Expression
MUC20,Gene Expression
MUC4,Gene Expression
TNK2,Gene Expression
TNK2-AS1,Gene Expression
TFRC,Gene Expression
LINC00885,Gene Expression
ZDHHC19,Gene Expression
SLC51A,Gene Expression
PCYT1A,Gene Expression
TM4SF19-AS1,Gene Expression
TM4SF19,Gene Expression
UBXN7,Gene Expression
UBXN7-AS1,Gene Expression
RNF168,Gene Expression
AC117490.2,Gene Expression
SMCO1,Gene Expression
WDR53,Gene Expression
FBXO45,Gene Expression
LINC01063,Gene Expression
NRROS,Gene Expression
PIGX,Gene Expression
CEP19,Gene Expression
PAK2,Gene Expression
SENP5,Gene Expression
NCBP2,Gene Expression
NCBP2-AS1,Gene Expression
PIGZ,Gene Expression
MELTF,Gene Expression
MELTF-AS1,Gene Expression
DLG1,Gene Expression
DLG1-AS1,Gene Expression
AC128709.2,Gene Expression
AC128709.1,Gene Expression
LINC02012,Gene Expression
BDH1,Gene Expression
AC024560.3,Gene Expression
AC024560.1,Gene Expression
RUBCN,Gene Expression
FYTTD1,Gene Expression
AC055764.2,Gene Expression
LRCH3,Gene Expression
AC055764.1,Gene Expression
IQCG,Gene Expression
RPL35A,Gene Expression
LMLN,Gene Expression
LMLN-AS1,Gene Expression
ZNF595,Gene Expression
ZNF718,Gene Expression
ZNF732,Gene Expression
ZNF141,Gene Expression
AC092574.2,Gene Expression
AC092574.1,Gene Expression
ZNF721,Gene Expression
PIGG,Gene Expression
PDE6B,Gene Expression
AC107464.2,Gene Expression
ATP5ME,Gene Expression
MYL5,Gene Expression
SLC49A3,Gene Expression
PCGF3,Gene Expression
AC107464.1,Gene Expression
AC139887.4,Gene Expression
AC139887.2,Gene Expression
AC139887.1,Gene Expression
CPLX1,Gene Expression
AC139887.3,Gene Expression
GAK,Gene Expression
TMEM175,Gene Expression
DGKQ,Gene Expression
SLC26A1,Gene Expression
IDUA,Gene Expression
FGFRL1,Gene Expression
RNF212,Gene Expression
AC092535.4,Gene Expression
SPON2,Gene Expression
CTBP1-AS,Gene Expression
CTBP1,Gene Expression
CTBP1-DT,Gene Expression
MAEA,Gene Expression
UVSSA,Gene Expression
AC147067.2,Gene Expression
AC147067.1,Gene Expression
FAM53A,Gene Expression
SLBP,Gene Expression
TMEM129,Gene Expression
TACC3,Gene Expression
FGFR3,Gene Expression
LETM1,Gene Expression
NSD2,Gene Expression
NELFA,Gene Expression
C4orf48,Gene Expression
NAT8L,Gene Expression
POLN,Gene Expression
AL136360.2,Gene Expression
HAUS3,Gene Expression
MXD4,Gene Expression
ZFYVE28,Gene Expression
AL158068.2,Gene Expression
CFAP99,Gene Expression
RNF4,Gene Expression
FAM193A,Gene Expression
TNIP2,Gene Expression
SH3BP2,Gene Expression
ADD1,Gene Expression
MFSD10,Gene Expression
NOP14-AS1,Gene Expression
NOP14,Gene Expression
GRK4,Gene Expression
HTT-AS,Gene Expression
HTT,Gene Expression
MSANTD1,Gene Expression
RGS12,Gene Expression
HGFAC,Gene Expression
DOK7,Gene Expression
LRPAP1,Gene Expression
LINC02171,Gene Expression
TMEM128,Gene Expression
LYAR,Gene Expression
ZBTB49,Gene Expression
AC105415.1,Gene Expression
NSG1,Gene Expression
STX18,Gene Expression
STX18-AS1,Gene Expression
LINC01396,Gene Expression
MSX1,Gene Expression
CYTL1,Gene Expression
STK32B,Gene Expression
EVC2,Gene Expression
EVC,Gene Expression
CRMP1,Gene Expression
C4orf50,Gene Expression
JAKMIP1,Gene Expression
AC113615.1,Gene Expression
WFS1,Gene Expression
PPP2R2C,Gene Expression
MAN2B2,Gene Expression
MRFAP1,Gene Expression
LINC02482,Gene Expression
AC093323.1,Gene Expression
S100P,Gene Expression
MRFAP1L1,Gene Expression
BLOC1S4,Gene Expression
KIAA0232,Gene Expression
TBC1D14,Gene Expression
AC097382.2,Gene Expression
CCDC96,Gene Expression
TADA2B,Gene Expression
GRPEL1,Gene Expression
LINC02447,Gene Expression
SORCS2,Gene Expression
AFAP1-AS1,Gene Expression
AFAP1,Gene Expression
AC097381.1,Gene Expression
ABLIM2,Gene Expression
SH3TC1,Gene Expression
HTRA3,Gene Expression
LINC02517,Gene Expression
AC104825.1,Gene Expression
ACOX3,Gene Expression
TRMT44,Gene Expression
AC105345.2,Gene Expression
AC105345.1,Gene Expression
FAM90A26,Gene Expression
SLC2A9,Gene Expression
WDR1,Gene Expression
ZNF518B,Gene Expression
CLNK,Gene Expression
AC084048.1,Gene Expression
LINC02498,Gene Expression
HS3ST1,Gene Expression
AC025539.1,Gene Expression
AC005699.1,Gene Expression
AC007370.2,Gene Expression
AC007370.1,Gene Expression
RAB28,Gene Expression
LINC01097,Gene Expression
LINC01096,Gene Expression
BOD1L1,Gene Expression
LINC01182,Gene Expression
AC007126.1,Gene Expression
AC092546.1,Gene Expression
LINC00504,Gene Expression
CPEB2-DT,Gene Expression
CPEB2,Gene Expression
C1QTNF7,Gene Expression
AC099550.1,Gene Expression
CC2D2A,Gene Expression
AC116651.1,Gene Expression
FBXL5,Gene Expression
FAM200B,Gene Expression
BST1,Gene Expression
CD38,Gene Expression
FGFBP1,Gene Expression
FGFBP2,Gene Expression
PROM1,Gene Expression
TAPT1,Gene Expression
TAPT1-AS1,Gene Expression
AC097515.1,Gene Expression
LDB2,Gene Expression
QDPR,Gene Expression
LAP3,Gene Expression
AC006160.1,Gene Expression
MED28,Gene Expression
FAM184B,Gene Expression
DCAF16,Gene Expression
NCAPG,Gene Expression
LCORL,Gene Expression
SLIT2,Gene Expression
PACRGL,Gene Expression
KCNIP4,Gene Expression
AC097505.1,Gene Expression
KCNIP4-IT1,Gene Expression
AC096719.1,Gene Expression
ADGRA3,Gene Expression
ERVH-1,Gene Expression
PPARGC1A,Gene Expression
DHX15,Gene Expression
LINC02473,Gene Expression
SOD3,Gene Expression
CCDC149,Gene Expression
LGI2,Gene Expression
SEPSECS,Gene Expression
SEPSECS-AS1,Gene Expression
AC104662.1,Gene Expression
PI4K2B,Gene Expression
ZCCHC4,Gene Expression
ANAPC4,Gene Expression
SEL1L3,Gene Expression
SMIM20,Gene Expression
AC133961.1,Gene Expression
LINC02357,Gene Expression
RBPJ,Gene Expression
TBC1D19,Gene Expression
STIM2,Gene Expression
LINC02261,Gene Expression
PCDH7,Gene Expression
AC104071.1,Gene Expression
LINC02506,Gene Expression
LINC02484,Gene Expression
ARAP2,Gene Expression
AC104078.1,Gene Expression
DTHD1,Gene Expression
NWD2,Gene Expression
C4orf19,Gene Expression
AC027607.1,Gene Expression
RELL1,Gene Expression
PGM2,Gene Expression
TBC1D1,Gene Expression
PTTG2,Gene Expression
LINC02513,Gene Expression
LINC01258,Gene Expression
LINC01259,Gene Expression
AC021860.1,Gene Expression
KLF3,Gene Expression
TLR10,Gene Expression
TLR1,Gene Expression
TLR6,Gene Expression
FAM114A1,Gene Expression
TMEM156,Gene Expression
KLHL5,Gene Expression
AC079921.1,Gene Expression
AC079921.2,Gene Expression
WDR19,Gene Expression
RFC1,Gene Expression
KLB,Gene Expression
RPL9,Gene Expression
LIAS,Gene Expression
UGDH,Gene Expression
UGDH-AS1,Gene Expression
SMIM14,Gene Expression
AC108471.2,Gene Expression
UBE2K,Gene Expression
PDS5A,Gene Expression
N4BP2,Gene Expression
RHOH,Gene Expression
AC095057.2,Gene Expression
LINC02265,Gene Expression
CHRNA9,Gene Expression
RBM47,Gene Expression
AC098869.2,Gene Expression
NSUN7,Gene Expression
APBB2,Gene Expression
UCHL1,Gene Expression
LIMCH1,Gene Expression
LINC00682,Gene Expression
AC108210.1,Gene Expression
TMEM33,Gene Expression
DCAF4L1,Gene Expression
AC106052.1,Gene Expression
SLC30A9,Gene Expression
BEND4,Gene Expression
AC111006.1,Gene Expression
AC024022.1,Gene Expression
SHISA3,Gene Expression
ATP8A1,Gene Expression
AC096734.2,Gene Expression
AC096734.1,Gene Expression
KCTD8,Gene Expression
YIPF7,Gene Expression
GUF1,Gene Expression
GNPDA2,Gene Expression
AC096586.2,Gene Expression
AC096586.1,Gene Expression
GABRA4,Gene Expression
GABRB1,Gene Expression
COMMD8,Gene Expression
ATP10D,Gene Expression
AC107398.2,Gene Expression
CORIN,Gene Expression
AC107068.2,Gene Expression
AC107068.1,Gene Expression
NFXL1,Gene Expression
NIPAL1,Gene Expression
CNGA1,Gene Expression
TXK,Gene Expression
TEC,Gene Expression
SLAIN2,Gene Expression
SLC10A4,Gene Expression
ZAR1,Gene Expression
FRYL,Gene Expression
OCIAD1,Gene Expression
OCIAD1-AS1,Gene Expression
OCIAD2,Gene Expression
DCUN1D4,Gene Expression
AC027271.1,Gene Expression
LRRC66,Gene Expression
SGCB,Gene Expression
SPATA18,Gene Expression
USP46,Gene Expression
ERVMER34-1,Gene Expression
LINC01618,Gene Expression
RASL11B,Gene Expression
SCFD2,Gene Expression
AC023154.1,Gene Expression
FIP1L1,Gene Expression
LNX1,Gene Expression
AC110792.3,Gene Expression
CHIC2,Gene Expression
AC110792.2,Gene Expression
GSX2,Gene Expression
PDGFRA,Gene Expression
AC098868.1,Gene Expression
KIT,Gene Expression
KDR,Gene Expression
SRD5A3,Gene Expression
AC069200.1,Gene Expression
TMEM165,Gene Expression
CLOCK,Gene Expression
AC024243.1,Gene Expression
NMU,Gene Expression
EXOC1L,Gene Expression
EXOC1,Gene Expression
CEP135,Gene Expression
AASDH,Gene Expression
AC068620.1,Gene Expression
PPAT,Gene Expression
AC068620.2,Gene Expression
PAICS,Gene Expression
SRP72,Gene Expression
ARL9,Gene Expression
THEGL,Gene Expression
HOPX,Gene Expression
SPINK2,Gene Expression
REST,Gene Expression
AC069307.1,Gene Expression
NOA1,Gene Expression
POLR2B,Gene Expression
IGFBP7,Gene Expression
IGFBP7-AS1,Gene Expression
AC093725.2,Gene Expression
ADGRL3,Gene Expression
AC020741.1,Gene Expression
LINC02232,Gene Expression
AC104806.2,Gene Expression
CENPC,Gene Expression
STAP1,Gene Expression
UBA6,Gene Expression
UBA6-AS1,Gene Expression
TMPRSS11A,Gene Expression
TMPRSS11B,Gene Expression
YTHDC1,Gene Expression
TMPRSS11E,Gene Expression
UGT2B17,Gene Expression
UGT2B15,Gene Expression
AC111000.4,Gene Expression
UGT2B11,Gene Expression
UGT2A1,Gene Expression
SULT1B1,Gene Expression
SULT1E1,Gene Expression
CSN1S1,Gene Expression
ODAM,Gene Expression
CSN3,Gene Expression
ENAM,Gene Expression
JCHAIN,Gene Expression
UTP3,Gene Expression
AC009570.1,Gene Expression
RUFY3,Gene Expression
GRSF1,Gene Expression
MOB1B,Gene Expression
DCK,Gene Expression
SLC4A4,Gene Expression
NPFFR2,Gene Expression
ADAMTS3,Gene Expression
COX18,Gene Expression
ANKRD17,Gene Expression
ALB,Gene Expression
RASSF6,Gene Expression
CXCL8,Gene Expression
CXCL6,Gene Expression
PF4V1,Gene Expression
CXCL1,Gene Expression
PF4,Gene Expression
PPBP,Gene Expression
CXCL5,Gene Expression
CXCL3,Gene Expression
CXCL2,Gene Expression
MTHFD2L,Gene Expression
AC093677.2,Gene Expression
EPGN,Gene Expression
EREG,Gene Expression
AREG,Gene Expression
BTC,Gene Expression
PARM1,Gene Expression
AC110760.1,Gene Expression
LINC02562,Gene Expression
AC096759.2,Gene Expression
RCHY1,Gene Expression
THAP6,Gene Expression
ODAPH,Gene Expression
CDKL2,Gene Expression
G3BP2,Gene Expression
USO1,Gene Expression
AC110615.1,Gene Expression
PPEF2,Gene Expression
NAAA,Gene Expression
SDAD1,Gene Expression
CXCL9,Gene Expression
ART3,Gene Expression
CXCL10,Gene Expression
CXCL11,Gene Expression
NUP54,Gene Expression
SCARB2,Gene Expression
FAM47E,Gene Expression
STBD1,Gene Expression
CCDC158,Gene Expression
SHROOM3,Gene Expression
SOWAHB,Gene Expression
CCNI,Gene Expression
CCNG2,Gene Expression
CXCL13,Gene Expression
CNOT6L,Gene Expression
MRPL1,Gene Expression
FRAS1,Gene Expression
ANXA3,Gene Expression
LINC01094,Gene Expression
AC098818.2,Gene Expression
BMP2K,Gene Expression
PAQR3,Gene Expression
LINC01088,Gene Expression
NAA11,Gene Expression
LINC00989,Gene Expression
AC092542.1,Gene Expression
LINC02469,Gene Expression
ANTXR2,Gene Expression
AC021127.1,Gene Expression
PRDM8,Gene Expression
FGF5,Gene Expression
CFAP299,Gene Expression
BMP3,Gene Expression
PRKG2,Gene Expression
RASGEF1B,Gene Expression
AC124016.1,Gene Expression
HNRNPD,Gene Expression
HNRNPDL,Gene Expression
ENOPH1,Gene Expression
TMEM150C,Gene Expression
LINC00575,Gene Expression
SCD5,Gene Expression
SEC31A,Gene Expression
THAP9-AS1,Gene Expression
THAP9,Gene Expression
LIN54,Gene Expression
COPS4,Gene Expression
PLAC8,Gene Expression
AC114781.2,Gene Expression
COQ2,Gene Expression
HPSE,Gene Expression
HELQ,Gene Expression
MRPS18C,Gene Expression
ABRAXAS1,Gene Expression
GPAT3,Gene Expression
NKX6-1,Gene Expression
CDS1,Gene Expression
WDFY3,Gene Expression
WDFY3-AS1,Gene Expression
ARHGAP24,Gene Expression
MAPK10,Gene Expression
PTPN13,Gene Expression
SLC10A6,Gene Expression
C4orf36,Gene Expression
AC093827.4,Gene Expression
AFF1,Gene Expression
KLHL8,Gene Expression
HSD17B13,Gene Expression
HSD17B11,Gene Expression
NUDT9,Gene Expression
SPARCL1,Gene Expression
AC093895.1,Gene Expression
MEPE,Gene Expression
SPP1,Gene Expression
PKD2,Gene Expression
ABCG2,Gene Expression
PPM1K,Gene Expression
HERC6,Gene Expression
HERC5,Gene Expression
PYURF,Gene Expression
HERC3,Gene Expression
NAP1L5,Gene Expression
FAM13A-AS1,Gene Expression
FAM13A,Gene Expression
TIGD2,Gene Expression
AC104785.1,Gene Expression
GPRIN3,Gene Expression
SNCA,Gene Expression
AC097478.1,Gene Expression
SNCA-AS1,Gene Expression
MMRN1,Gene Expression
CCSER1,Gene Expression
SMARCAD1,Gene Expression
HPGDS,Gene Expression
PDLIM5,Gene Expression
AC108067.1,Gene Expression
BMPR1B,Gene Expression
UNC5C,Gene Expression
AC106881.1,Gene Expression
LINC02267,Gene Expression
STPG2,Gene Expression
AC019077.1,Gene Expression
RAP1GDS1,Gene Expression
TSPAN5,Gene Expression
AC114811.2,Gene Expression
EIF4E,Gene Expression
AC019131.1,Gene Expression
METAP1,Gene Expression
AC019131.2,Gene Expression
ADH5,Gene Expression
AP002026.1,Gene Expression
ADH4,Gene Expression
ADH6,Gene Expression
ADH1B,Gene Expression
C4orf17,Gene Expression
TRMT10A,Gene Expression
MTTP,Gene Expression
C4orf54,Gene Expression
DAPP1,Gene Expression
LAMTOR3,Gene Expression
DNAJB14,Gene Expression
DDIT4L,Gene Expression
EMCN,Gene Expression
PPP3CA,Gene Expression
BANK1,Gene Expression
AP002075.1,Gene Expression
SLC39A8,Gene Expression
AC098487.1,Gene Expression
AF213884.3,Gene Expression
NFKB1,Gene Expression
MANBA,Gene Expression
UBE2D3,Gene Expression
CISD2,Gene Expression
SLC9B1,Gene Expression
SLC9B2,Gene Expression
BDH2,Gene Expression
CENPE,Gene Expression
LINC02428,Gene Expression
LINC02503,Gene Expression
CXXC4,Gene Expression
CXXC4-AS1,Gene Expression
AC004053.1,Gene Expression
AC096577.1,Gene Expression
AC004069.1,Gene Expression
TET2,Gene Expression
TET2-AS1,Gene Expression
PPA2,Gene Expression
ARHGEF38,Gene Expression
INTS12,Gene Expression
GSTCD,Gene Expression
NPNT,Gene Expression
AC109361.1,Gene Expression
TBCK,Gene Expression
AIMP1,Gene Expression
DKK2,Gene Expression
PAPSS1,Gene Expression
SGMS2,Gene Expression
CYP2U1,Gene Expression
AC096564.1,Gene Expression
HADH,Gene Expression
LEF1,Gene Expression
RPL34,Gene Expression
OSTC,Gene Expression
ETNPPL,Gene Expression
COL25A1,Gene Expression
SEC24B-AS1,Gene Expression
SEC24B,Gene Expression
MCUB,Gene Expression
CASP6,Gene Expression
AC004067.1,Gene Expression
PLA2G12A,Gene Expression
AC126283.1,Gene Expression
CFI,Gene Expression
GAR1,Gene Expression
RRH,Gene Expression
LRIT3,Gene Expression
EGF,Gene Expression
ELOVL6,Gene Expression
ENPEP,Gene Expression
AC098798.1,Gene Expression
FAM241A,Gene Expression
AC109347.1,Gene Expression
AP1AR,Gene Expression
AC109347.2,Gene Expression
TIFA,Gene Expression
ALPK1,Gene Expression
NEUROG2,Gene Expression
ZGRF1,Gene Expression
LARP7,Gene Expression
AC106864.1,Gene Expression
ANK2,Gene Expression
CAMK2D,Gene Expression
ARSJ,Gene Expression
AC104779.1,Gene Expression
UGT8,Gene Expression
TRAM1L1,Gene Expression
NDST3,Gene Expression
SNHG8,Gene Expression
PRSS12,Gene Expression
METTL14,Gene Expression
SEC24D,Gene Expression
SYNPO2,Gene Expression
USP53,Gene Expression
C4orf3,Gene Expression
FABP2,Gene Expression
AC093752.2,Gene Expression
PDE5A,Gene Expression
AC097173.2,Gene Expression
MAD2L1,Gene Expression
AC025741.1,Gene Expression
PRDM5,Gene Expression
NDNF,Gene Expression
TNIP3,Gene Expression
QRFPR,Gene Expression
ANXA5,Gene Expression
EXOSC9,Gene Expression
CCNA2,Gene Expression
BBS7,Gene Expression
AC079341.1,Gene Expression
TRPC3,Gene Expression
KIAA1109,Gene Expression
ADAD1,Gene Expression
IL2,Gene Expression
IL21,Gene Expression
IL21-AS1,Gene Expression
BBS12,Gene Expression
FGF2,Gene Expression
AC021205.3,Gene Expression
NUDT6,Gene Expression
SPATA5,Gene Expression
SPRY1,Gene Expression
AC093821.1,Gene Expression
LINC01091,Gene Expression
LINC02516,Gene Expression
ANKRD50,Gene Expression
FAT4,Gene Expression
INTU,Gene Expression
HSPA4L,Gene Expression
AC093591.2,Gene Expression
PLK4,Gene Expression
MFSD8,Gene Expression
ABHD18,Gene Expression
LARP1B,Gene Expression
PGRMC2,Gene Expression
AC110609.1,Gene Expression
AC078850.1,Gene Expression
JADRR,Gene Expression
JADE1,Gene Expression
SCLT1,Gene Expression
C4orf33,Gene Expression
SNHG27,Gene Expression
AC096711.2,Gene Expression
AC096711.1,Gene Expression
AC105383.1,Gene Expression
PCDH10,Gene Expression
PCDH18,Gene Expression
SLC7A11,Gene Expression
LINC00499,Gene Expression
LINC00500,Gene Expression
AC093766.1,Gene Expression
AC109927.1,Gene Expression
AC109927.2,Gene Expression
NOCT,Gene Expression
ELF2,Gene Expression
MGARP,Gene Expression
NDUFC1,Gene Expression
NAA15,Gene Expression
RAB33B,Gene Expression
SETD7,Gene Expression
AC112236.2,Gene Expression
AC112236.1,Gene Expression
MGST2,Gene Expression
MAML3,Gene Expression
AC131182.1,Gene Expression
SCOC,Gene Expression
SCOC-AS1,Gene Expression
CLGN,Gene Expression
MGAT4D,Gene Expression
ELMOD2,Gene Expression
TBC1D9,Gene Expression
AC096733.1,Gene Expression
AC096733.2,Gene Expression
RNF150,Gene Expression
ZNF330,Gene Expression
LINC02432,Gene Expression
AC097504.2,Gene Expression
IL15,Gene Expression
INPP4B,Gene Expression
AC139720.1,Gene Expression
AC104596.1,Gene Expression
USP38,Gene Expression
GAB1,Gene Expression
SMARCA5,Gene Expression
SMARCA5-AS1,Gene Expression
FREM3,Gene Expression
GYPE,Gene Expression
GYPB,Gene Expression
GYPA,Gene Expression
HHIP-AS1,Gene Expression
HHIP,Gene Expression
ANAPC10,Gene Expression
ABCE1,Gene Expression
OTUD4,Gene Expression
SMAD1,Gene Expression
SMAD1-AS2,Gene Expression
SMAD1-AS1,Gene Expression
MMAA,Gene Expression
AC093864.1,Gene Expression
C4orf51,Gene Expression
ZNF827,Gene Expression
AC108206.1,Gene Expression
LINC01095,Gene Expression
LSM6,Gene Expression
REELD1,Gene Expression
AC097372.1,Gene Expression
SLC10A7,Gene Expression
POU4F2,Gene Expression
TTC29,Gene Expression
AC093835.1,Gene Expression
TMEM184C,Gene Expression
PRMT9,Gene Expression
ARHGAP10,Gene Expression
NR3C2,Gene Expression
AC069272.1,Gene Expression
AC108935.1,Gene Expression
DCLK2,Gene Expression
LRBA,Gene Expression
AC110813.1,Gene Expression
MAB21L2,Gene Expression
RPS3A,Gene Expression
SH3D19,Gene Expression
AC095055.1,Gene Expression
AC104819.3,Gene Expression
FAM160A1-DT,Gene Expression
FAM160A1,Gene Expression
GATB,Gene Expression
AC092611.1,Gene Expression
AC097375.1,Gene Expression
LINC02273,Gene Expression
AC079340.1,Gene Expression
AC079340.2,Gene Expression
AC080078.1,Gene Expression
AC080078.2,Gene Expression
FBXW7,Gene Expression
FBXW7-AS1,Gene Expression
TMEM154,Gene Expression
AC106882.1,Gene Expression
TIGD4,Gene Expression
ARFIP1,Gene Expression
FHDC1,Gene Expression
AC093599.1,Gene Expression
TRIM2,Gene Expression
MND1,Gene Expression
TMEM131L,Gene Expression
TLR2,Gene Expression
RNF175,Gene Expression
AC020703.1,Gene Expression
SFRP2,Gene Expression
AC079298.3,Gene Expression
DCHS2,Gene Expression
PLRG1,Gene Expression
FGB,Gene Expression
LRAT,Gene Expression
RBM46,Gene Expression
AC097467.3,Gene Expression
MAP9,Gene Expression
GUCY1A1,Gene Expression
GUCY1B1,Gene Expression
CTSO,Gene Expression
PDGFC,Gene Expression
GLRB,Gene Expression
FAM198B-AS1,Gene Expression
AC098679.1,Gene Expression
TMEM144,Gene Expression
RXFP1,Gene Expression
C4orf46,Gene Expression
ETFDH,Gene Expression
PPID,Gene Expression
FNIP2,Gene Expression
C4orf45,Gene Expression
RAPGEF2,Gene Expression
FSTL5,Gene Expression
AC022272.1,Gene Expression
NAF1,Gene Expression
TKTL2,Gene Expression
TMA16,Gene Expression
AC093788.1,Gene Expression
SMIM31,Gene Expression
APELA,Gene Expression
TRIM61,Gene Expression
FAM218A,Gene Expression
TRIM60,Gene Expression
TMEM192,Gene Expression
KLHL2,Gene Expression
GK3P,Gene Expression
MSMO1,Gene Expression
CPE,Gene Expression
SPOCK3,Gene Expression
ANXA10,Gene Expression
DDX60,Gene Expression
DDX60L,Gene Expression
PALLD,Gene Expression
AC080188.1,Gene Expression
CBR4,Gene Expression
AC021151.1,Gene Expression
SH3RF1,Gene Expression
NEK1,Gene Expression
CLCN3,Gene Expression
HPF1,Gene Expression
LINC02275,Gene Expression
AC084866.1,Gene Expression
MFAP3L,Gene Expression
AADAT,Gene Expression
LINC01612,Gene Expression
GALNTL6,Gene Expression
AC105285.1,Gene Expression
GALNT7,Gene Expression
AC097534.1,Gene Expression
HMGB2,Gene Expression
SAP30,Gene Expression
SCRG1,Gene Expression
AC093849.1,Gene Expression
HAND2,Gene Expression
HAND2-AS1,Gene Expression
LINC02268,Gene Expression
FBXO8,Gene Expression
CEP44,Gene Expression
HPGD,Gene Expression
AC096751.2,Gene Expression
GLRA3,Gene Expression
ADAM29,Gene Expression
AC095050.1,Gene Expression
GPM6A,Gene Expression
WDR17,Gene Expression
SPATA4,Gene Expression
ASB5,Gene Expression
SPCS3,Gene Expression
VEGFC,Gene Expression
NEIL3,Gene Expression
AGA,Gene Expression
AC078881.1,Gene Expression
TENM3,Gene Expression
AC079766.1,Gene Expression
DCTD,Gene Expression
WWC2-AS2,Gene Expression
WWC2,Gene Expression
WWC2-AS1,Gene Expression
CLDN22,Gene Expression
CLDN24,Gene Expression
CDKN2AIP,Gene Expression
AC107214.1,Gene Expression
ING2,Gene Expression
AC107214.2,Gene Expression
RWDD4,Gene Expression
TRAPPC11,Gene Expression
AC108477.1,Gene Expression
STOX2,Gene Expression
ENPP6,Gene Expression
LINC02363,Gene Expression
LINC02362,Gene Expression
IRF2,Gene Expression
LINC02427,Gene Expression
LINC02365,Gene Expression
CASP3,Gene Expression
PRIMPOL,Gene Expression
CENPU,Gene Expression
ACSL1,Gene Expression
MIR3945HG,Gene Expression
LINC01093,Gene Expression
LINC02436,Gene Expression
SLC25A4,Gene Expression
CFAP97,Gene Expression
SNX25,Gene Expression
LRP2BP,Gene Expression
AC112722.1,Gene Expression
ANKRD37,Gene Expression
UFSP2,Gene Expression
C4orf47,Gene Expression
CCDC110,Gene Expression
AC106897.1,Gene Expression
PDLIM3,Gene Expression
SORBS2,Gene Expression
AC093797.1,Gene Expression
AC108472.1,Gene Expression
TLR3,Gene Expression
FAM149A,Gene Expression
CYP4V2,Gene Expression
KLKB1,Gene Expression
F11,Gene Expression
F11-AS1,Gene Expression
FAT1,Gene Expression
AC097652.1,Gene Expression
ZFP42,Gene Expression
AC138781.1,Gene Expression
LINC01262,Gene Expression
AF250324.1,Gene Expression
FRG1-DT,Gene Expression
FRG1,Gene Expression
DBET,Gene Expression
DUX4,Gene Expression
PLEKHG4B,Gene Expression
LRRC14B,Gene Expression
CCDC127,Gene Expression
SDHA,Gene Expression
AC021087.1,Gene Expression
PDCD6,Gene Expression
AHRR,Gene Expression
EXOC3-AS1,Gene Expression
EXOC3,Gene Expression
SLC9A3,Gene Expression
AC106772.1,Gene Expression
CEP72,Gene Expression
TPPP,Gene Expression
AC026740.1,Gene Expression
ZDHHC11B,Gene Expression
ZDHHC11,Gene Expression
BRD9,Gene Expression
TRIP13,Gene Expression
AC116351.1,Gene Expression
AC116351.2,Gene Expression
NKD2,Gene Expression
SLC12A7,Gene Expression
SLC6A19,Gene Expression
TERT,Gene Expression
CLPTM1L,Gene Expression
LINC01511,Gene Expression
SLC6A3,Gene Expression
LPCAT1,Gene Expression
AC091849.2,Gene Expression
AC026412.3,Gene Expression
AC112176.1,Gene Expression
MRPL36,Gene Expression
NDUFS6,Gene Expression
AC126768.2,Gene Expression
C5orf38,Gene Expression
IRX1,Gene Expression
ADAMTS16,Gene Expression
ICE1,Gene Expression
AC010266.2,Gene Expression
LINC02145,Gene Expression
MED10,Gene Expression
UBE2QL1,Gene Expression
LINC01018,Gene Expression
NSUN2,Gene Expression
SRD5A1,Gene Expression
LINC02102,Gene Expression
TENT4A,Gene Expression
LINC02236,Gene Expression
AC122710.2,Gene Expression
LINC02142,Gene Expression
ADCY2,Gene Expression
C5orf49,Gene Expression
MTRR,Gene Expression
FASTKD3,Gene Expression
AC025174.1,Gene Expression
LINC02226,Gene Expression
AC091965.1,Gene Expression
AC091965.4,Gene Expression
MIR4458HG,Gene Expression
SEMA5A,Gene Expression
AC091906.1,Gene Expression
