,feature_types
PLEKHM2,Gene Expression
AL450998.2,Gene Expression
SLC25A34,Gene Expression
SLC25A34-AS1,Gene Expression
TMEM82,Gene Expression
FBLIM1,Gene Expression
UQCRHL,Gene Expression
SPEN,Gene Expression
ZBTB17,Gene Expression
SRARP,Gene Expression
HSPB7,Gene Expression
CLCNKA,Gene Expression
CLCNKB,Gene Expression
FAM131C,Gene Expression
EPHA2,Gene Expression
AL451042.2,Gene Expression
AL451042.1,Gene Expression
ARHGEF19,Gene Expression
CPLANE2,Gene Expression
FBXO42,Gene Expression
SZRD1,Gene Expression
SPATA21,Gene Expression
NECAP2,Gene Expression
LINC01772,Gene Expression
AL137802.2,Gene Expression
AL137802.1,Gene Expression
LINC01783,Gene Expression
NBPF1,Gene Expression
AL137798.2,Gene Expression
AL021920.1,Gene Expression
AL021920.3,Gene Expression
CROCC,Gene Expression
BX284668.2,Gene Expression
BX284668.5,Gene Expression
MFAP2,Gene Expression
AL049569.1,Gene Expression
ATP13A2,Gene Expression
SDHB,Gene Expression
PADI2,Gene Expression
AL590644.1,Gene Expression
ARHGEF10L,Gene Expression
ACTL8,Gene Expression
IGSF21,Gene Expression
TAS1R2,Gene Expression
ALDH4A1,Gene Expression
IFFO2,Gene Expression
UBR4,Gene Expression
EMC1,Gene Expression
MRTO4,Gene Expression
AKR7A3,Gene Expression
AKR7A2,Gene Expression
CAPZB,Gene Expression
AL031727.2,Gene Expression
NBL1,Gene Expression
HTR6,Gene Expression
TMCO4,Gene Expression
OTUD3,Gene Expression
PLA2G5,Gene Expression
PLA2G2D,Gene Expression
PLA2G2F,Gene Expression
Z98257.1,Gene Expression
PLA2G2C,Gene Expression
UBXN10,Gene Expression
VWA5B1,Gene Expression
AL020998.1,Gene Expression
LINC01141,Gene Expression
CAMK2N1,Gene Expression
MUL1,Gene Expression
CDA,Gene Expression
PINK1,Gene Expression
PINK1-AS,Gene Expression
DDOST,Gene Expression
KIF17,Gene Expression
SH2D5,Gene Expression
AL663074.1,Gene Expression
HP1BP3,Gene Expression
EIF4G3,Gene Expression
ECE1,Gene Expression
AL031005.1,Gene Expression
NBPF3,Gene Expression
ALPL,Gene Expression
RAP1GAP,Gene Expression
USP48,Gene Expression
LDLRAD2,Gene Expression
HSPG2,Gene Expression
LINC01635,Gene Expression
CDC42,Gene Expression
WNT4,Gene Expression
ZBTB40,Gene Expression
EPHA8,Gene Expression
C1QA,Gene Expression
C1QC,Gene Expression
C1QB,Gene Expression
EPHB2,Gene Expression
TEX46,Gene Expression
KDM1A,Gene Expression
AL031428.1,Gene Expression
LUZP1,Gene Expression
AL021154.1,Gene Expression
MDS2,Gene Expression
RPL11,Gene Expression
ELOA,Gene Expression
ELOA-AS1,Gene Expression
PITHD1,Gene Expression
LYPLA2,Gene Expression
GALE,Gene Expression
HMGCL,Gene Expression
FUCA1,Gene Expression
CNR2,Gene Expression
PNRC2,Gene Expression
SRSF10,Gene Expression
MYOM3,Gene Expression
IL22RA1,Gene Expression
IFNLR1,Gene Expression
GRHL3,Gene Expression
STPG1,Gene Expression
NIPAL3,Gene Expression
RCAN3,Gene Expression
NCMAP,Gene Expression
SRRM1,Gene Expression
CLIC4,Gene Expression
RUNX3,Gene Expression
AL445471.1,Gene Expression
AL050344.1,Gene Expression
AL031432.1,Gene Expression
SYF2,Gene Expression
AL031432.5,Gene Expression
RSRP1,Gene Expression
AL031432.3,Gene Expression
RHD,Gene Expression
TMEM50A,Gene Expression
RHCE,Gene Expression
MACO1,Gene Expression
LDLRAP1,Gene Expression
AL606491.1,Gene Expression
MAN1C1,Gene Expression
AL031280.1,Gene Expression
SELENON,Gene Expression
AL020996.1,Gene Expression
MTFR1L,Gene Expression
AUNIP,Gene Expression
PAQR7,Gene Expression
STMN1,Gene Expression
PAFAH2,Gene Expression
EXTL1,Gene Expression
SLC30A2,Gene Expression
TRIM63,Gene Expression
PDIK1L,Gene Expression
FAM110D,Gene Expression
AL391650.1,Gene Expression
ZNF593,Gene Expression
CNKSR1,Gene Expression
CATSPER4,Gene Expression
CEP85,Gene Expression
SH3BGRL3,Gene Expression
UBXN11,Gene Expression
CD52,Gene Expression
CRYBG2,Gene Expression
ZNF683,Gene Expression
LIN28A,Gene Expression
DHDDS,Gene Expression
HMGN2,Gene Expression
AL512408.1,Gene Expression
ARID1A,Gene Expression
PIGV,Gene Expression
ZDHHC18,Gene Expression
SFN,Gene Expression
AL034380.1,Gene Expression
GPN2,Gene Expression
GPATCH3,Gene Expression
NUDC,Gene Expression
KDF1,Gene Expression
TRNP1,Gene Expression
TENT5B,Gene Expression
SLC9A1,Gene Expression
AL590640.1,Gene Expression
WDTC1,Gene Expression
TMEM222,Gene Expression
SYTL1,Gene Expression
MAP3K6,Gene Expression
FCN3,Gene Expression
CD164L2,Gene Expression
GPR3,Gene Expression
WASF2,Gene Expression
FO393419.2,Gene Expression
BX293535.1,Gene Expression
AHDC1,Gene Expression
FGR,Gene Expression
LINC02574,Gene Expression
IFI6,Gene Expression
AL445490.1,Gene Expression
FAM76A,Gene Expression
STX12,Gene Expression
PPP1R8,Gene Expression
THEMIS2,Gene Expression
RPA2,Gene Expression
SMPDL3B,Gene Expression
AL512288.1,Gene Expression
XKR8,Gene Expression
EYA3,Gene Expression
PTAFR,Gene Expression
DNAJC8,Gene Expression
ATP5IF1,Gene Expression
AL353622.1,Gene Expression
AL353622.2,Gene Expression
SESN2,Gene Expression
MED18,Gene Expression
PHACTR4,Gene Expression
RCC1,Gene Expression
TRNAU1AP,Gene Expression
SNHG12,Gene Expression
TAF12,Gene Expression
RAB42,Gene Expression
LINC01715,Gene Expression
AL360012.1,Gene Expression
GMEB1,Gene Expression
YTHDF2,Gene Expression
OPRD1,Gene Expression
AL009181.1,Gene Expression
EPB41,Gene Expression
TMEM200B,Gene Expression
AL357500.1,Gene Expression
SRSF4,Gene Expression
MECR,Gene Expression
PTPRU,Gene Expression
AL137076.1,Gene Expression
MATN1,Gene Expression
MATN1-AS1,Gene Expression
LAPTM5,Gene Expression
LINC01778,Gene Expression
AL445235.1,Gene Expression
SDC3,Gene Expression
PUM1,Gene Expression
NKAIN1,Gene Expression
SNRNP40,Gene Expression
ZCCHC17,Gene Expression
AL451070.1,Gene Expression
FABP3,Gene Expression
SERINC2,Gene Expression
TINAGL1,Gene Expression
HCRTR1,Gene Expression
PEF1,Gene Expression
AC114488.2,Gene Expression
COL16A1,Gene Expression
ADGRB2,Gene Expression
AL354919.2,Gene Expression
SPOCD1,Gene Expression
AL354919.1,Gene Expression
AL136115.2,Gene Expression
PTP4A2,Gene Expression
AL136115.1,Gene Expression
AL136115.3,Gene Expression
KHDRBS1,Gene Expression
AL445248.1,Gene Expression
TMEM39B,Gene Expression
KPNA6,Gene Expression
TXLNA,Gene Expression
CCDC28B,Gene Expression
AL049795.1,Gene Expression
IQCC,Gene Expression
DCDC2B,Gene Expression
TMEM234,Gene Expression
EIF3I,Gene Expression
FAM167B,Gene Expression
LCK,Gene Expression
HDAC1,Gene Expression
MARCKSL1,Gene Expression
AL109945.1,Gene Expression
TSSK3,Gene Expression
FAM229A,Gene Expression
BSDC1,Gene Expression
ZBTB8B,Gene Expression
ZBTB8A,Gene Expression
ZBTB8OS,Gene Expression
RBBP4,Gene Expression
SYNC,Gene Expression
KIAA1522,Gene Expression
S100PBP,Gene Expression
FNDC5,Gene Expression
HPCA,Gene Expression
TMEM54,Gene Expression
RNF19B,Gene Expression
AL020995.1,Gene Expression
AK2,Gene Expression
AZIN2,Gene Expression
TRIM62,Gene Expression
AL662907.3,Gene Expression
ZNF362,Gene Expression
AL513327.2,Gene Expression
A3GALT2,Gene Expression
AL513327.1,Gene Expression
PHC2,Gene Expression
ZSCAN20,Gene Expression
CSMD2,Gene Expression
SMIM12,Gene Expression
AL121988.1,Gene Expression
GJA4,Gene Expression
AL122010.1,Gene Expression
DLGAP3,Gene Expression
TMEM35B,Gene Expression
ZMYM6,Gene Expression
ZMYM1,Gene Expression
AL590434.1,Gene Expression
SFPQ,Gene Expression
ZMYM4,Gene Expression
ZMYM4-AS1,Gene Expression
KIAA0319L,Gene Expression
NCDN,Gene Expression
TFAP2E,Gene Expression
PSMB2,Gene Expression
C1orf216,Gene Expression
CLSPN,Gene Expression
AL354864.1,Gene Expression
AGO4,Gene Expression
AGO1,Gene Expression
AGO3,Gene Expression
AL138787.2,Gene Expression
TEKT2,Gene Expression
COL8A2,Gene Expression
TRAPPC3,Gene Expression
MAP7D1,Gene Expression
THRAP3,Gene Expression
