,P1 Base,P1 Prog,P1 Conv,P2 Base,P2 Prog,P2 Conv,P3 Base,P3 Prog,P3 Conv,P4 Base,P4 Prog,P4 Conv,P5 Base,P5 Prog,P5 Conv
T_clonotype149,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype146,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype155,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype154,0,0,0,0,0,0,0,0,0,4,12,1,0,0,0
T_clonotype200,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype196,0,0,0,1,11,4,0,0,0,0,0,0,0,0,0
T_clonotype166,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype173,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0
T_clonotype178,0,0,0,1,3,12,0,0,0,0,0,0,0,0,0
T_clonotype175,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype201,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype161,0,0,0,0,0,1,0,8,6,0,0,0,0,0,0
T_clonotype177,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype204,0,0,0,0,0,0,1,6,8,0,0,0,0,0,0
T_clonotype185,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype184,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0
T_clonotype153,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype191,0,0,0,0,0,0,0,0,0,6,8,1,0,0,0
T_clonotype159,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype174,0,0,0,1,5,8,0,0,0,0,0,0,0,0,0
T_clonotype180,0,0,0,2,9,3,0,0,0,0,0,0,0,0,0
T_clonotype217,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0
T_clonotype213,0,0,0,0,0,0,1,7,6,0,0,0,0,0,0
T_clonotype212,0,0,0,0,0,0,0,6,7,0,0,0,0,1,0
T_clonotype156,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype189,0,0,0,0,0,0,0,0,0,1,8,5,0,0,0
T_clonotype190,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0
T_clonotype168,0,0,0,0,0,0,0,0,0,2,11,0,1,0,0
T_clonotype192,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype194,0,0,0,0,0,1,0,7,5,0,0,0,0,0,0
T_clonotype218,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype216,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype214,0,0,0,4,5,4,0,0,0,0,0,0,0,0,0
T_clonotype205,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype195,0,0,0,2,9,2,0,0,0,0,0,0,0,0,0
T_clonotype202,9,1,2,0,1,0,0,0,0,0,0,0,0,0,0
T_clonotype183,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype188,1,0,0,1,4,5,0,0,0,0,0,0,2,0,0
T_clonotype140,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype187,0,0,0,0,0,0,0,0,0,2,8,3,0,0,0
T_clonotype228,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype243,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype215,0,0,0,0,0,0,0,0,0,3,7,2,0,0,0
T_clonotype143,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
T_clonotype207,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0
T_clonotype210,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype203,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0
T_clonotype235,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype247,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype206,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0
T_clonotype223,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0
T_clonotype242,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T_clonotype221,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype229,0,0,0,0,0,0,1,4,6,0,0,0,0,0,0
T_clonotype230,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0
T_clonotype208,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype137,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3
T_clonotype171,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype257,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype231,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0
T_clonotype232,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0
T_clonotype238,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0
T_clonotype248,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0
T_clonotype265,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype254,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0
T_clonotype227,0,0,0,0,0,0,0,6,3,0,0,0,0,1,0
T_clonotype226,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype225,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype172,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype198,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0
T_clonotype219,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype209,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0
T_clonotype164,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype199,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype249,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype291,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype289,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype259,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype281,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0
T_clonotype274,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype261,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0
T_clonotype292,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
T_clonotype263,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0
T_clonotype277,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0
T_clonotype222,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype267,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype280,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype246,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype220,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0
T_clonotype182,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype197,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype211,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0
T_clonotype233,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype245,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0
T_clonotype239,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype271,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype313,0,0,0,0,0,0,0,0,0,5,1,1,0,1,0
T_clonotype275,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0
T_clonotype317,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype308,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0
T_clonotype311,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype282,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype297,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype286,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
T_clonotype287,0,0,0,0,0,0,0,0,0,1,4,2,0,0,1
T_clonotype295,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype272,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0
T_clonotype224,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0
T_clonotype269,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype253,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype268,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0
T_clonotype236,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
T_clonotype237,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype240,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0
T_clonotype252,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype250,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype260,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0
T_clonotype258,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype262,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0
T_clonotype264,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype319,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
T_clonotype234,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0
T_clonotype179,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype293,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
T_clonotype244,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0
T_clonotype312,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
T_clonotype241,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype266,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0
T_clonotype290,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype301,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0
T_clonotype165,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
B_clonotype3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
B_clonotype36,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
T_clonotype315,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
B_clonotype49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_clonotype1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
